text,timestamp,label
imaginé,"[53.838, 54.298]",O
"así,","[54.338, 54.598]",O
"Alabín,","[54.879, 55.279]",O
"Alabán,","[55.779, 56.219]",L
"Alabín,","[56.62, 57.06]",L
"bom,","[57.26, 57.6]",L
"bam,","[57.66, 57.98]",L
Bin,"[58.38, 58.561]",L
"Laden,","[58.601, 58.981]",L
Bin,"[59.281, 59.461]",L
"Laden,","[59.501, 59.881]",L
experto,"[60.181, 60.682]",L
en,"[60.722, 60.802]",L
"derribar,","[60.842, 61.582]",L
bien.,"[61.642, 61.742]",L
¡Claro!,"[63.818, 64.038]",L
O,"[64.618, 64.678]",O
sea...,"[64.738, 64.959]",O
En,"[70.321, 70.441]",O
ese,"[70.521, 70.781]",O
"momento,","[70.881, 71.381]",O
cuando,"[71.701, 71.921]",O
las,"[71.981, 72.081]",O
torres,"[72.141, 72.382]",O
se,"[72.422, 72.502]",O
vinieron,"[72.562, 72.942]",O
"abajo,","[73.022, 73.462]",O
yo,"[73.482, 74.182]",O
sentí,"[74.362, 74.642]",O
un,"[74.682, 74.742]",O
ataque,"[74.762, 75.023]",O
de,"[75.083, 75.163]",O
solidaridad,"[75.223, 75.783]",O
con,"[76.223, 76.323]",O
los,"[76.363, 76.463]",O
peones,"[76.523, 76.803]",O
de,"[76.823, 76.883]",O
albañilería,"[76.903, 77.524]",O
de,"[77.564, 77.644]",O
Nueva,"[77.684, 77.844]",O
York.,"[77.904, 78.144]",L
He,"[79.284, 79.364]",L
cambiado,"[79.424, 79.764]",L
yo,"[79.784, 79.865]",O
una,"[79.905, 79.985]",O
bañera,"[80.025, 80.325]",O
por,"[80.365, 80.465]",O
un,"[80.505, 80.565]",O
plato,"[80.605, 80.825]",O
ducha,"[80.865, 81.105]",O
y,"[81.125, 81.145]",O
he,"[81.165, 81.205]",O
estado,"[81.225, 81.385]",O
tres,"[81.425, 81.565]",O
días,"[81.605, 81.745]",O
bajando,"[81.805, 82.145]",O
sacos,"[82.205, 82.466]",O
de,"[82.506, 82.566]",L
escombros.,"[82.586, 82.966]",L
No,"[84.666, 84.746]",L
me,"[84.807, 84.887]",L
quiero,"[84.947, 85.207]",L
yo,"[85.267, 85.407]",L
imaginar,"[85.487, 85.887]",L
lo,"[85.907, 85.987]",L
que,"[86.027, 86.107]",L
tuvieron,"[86.187, 86.527]",O
que,"[86.567, 86.667]",O
quitar,"[86.707, 86.927]",O
de,"[86.947, 87.007]",L
allí.,"[87.047, 87.328]",L
Aquello,"[88.808, 89.088]",L
tuvo,"[89.188, 89.368]",L
que,"[89.448, 89.528]",L
ser,"[89.588, 89.748]",L
increíble.,"[89.768, 90.429]",L
"Claro,","[91.613, 92.053]",O
"claro,","[92.854, 93.214]",O
"claro,","[93.334, 93.574]",O
aquello,"[93.594, 93.894]",O
fue,"[93.954, 94.074]",O
"duro,","[94.254, 94.575]",O
¿no?,"[94.595, 94.635]",O
Y,"[94.835, 94.875]",O
en,"[94.935, 94.995]",O
ese,"[95.055, 95.195]",O
momento,"[95.255, 95.715]",O
en,"[95.735, 95.775]",O
el,"[96.095, 96.276]",O
que,"[96.296, 96.376]",O
estamos,"[96.396, 96.676]",O
viendo,"[96.716, 96.976]",O
todo,"[97.056, 97.256]",O
aquello,"[97.276, 97.736]",O
y,"[97.756, 97.776]",O
tienes,"[98.477, 98.777]",O
el,"[98.797, 98.857]",O
cuerpo,"[98.917, 99.157]",O
un,"[99.197, 99.257]",O
poco,"[99.277, 99.497]",O
"entrecortado,","[99.938, 100.638]",O
se,"[100.918, 101.018]",O
mete,"[101.078, 101.298]",O
mi,"[101.338, 101.418]",O
abuela,"[101.458, 101.758]",O
por,"[101.839, 101.939]",O
el,"[101.979, 102.039]",O
lado,"[102.079, 102.219]",O
del,"[102.239, 102.359]",O
salón,"[102.419, 102.699]",O
y,"[102.719, 102.739]",O
"empieza,","[102.799, 103.079]",O
dame,"[103.479, 103.579]",O
el,"[103.619, 103.68]",O
"mando,","[103.7, 103.9]",O
"niño,","[103.92, 104.1]",O
dame,"[104.12, 104.2]",O
el,"[104.24, 104.3]",O
"mando,","[104.32, 104.5]",O
"niño,","[104.54, 104.74]",O
dame,"[104.76, 104.86]",L
el,"[104.9, 104.96]",L
"mando,","[104.98, 105.16]",L
"niño,","[105.36, 105.5]",L
dame,"[105.561, 105.641]",L
el,"[105.701, 105.761]",L
"mando,","[105.781, 105.941]",L
que,"[105.981, 106.041]",L
empiezo,"[106.061, 106.281]",L
a,"[106.301, 106.321]",L
Juan,"[106.401, 106.501]",L
y,"[106.541, 106.581]",L
medio.,"[106.621, 106.821]",L
"Digo,","[106.881, 107.021]",O
¡abuela!,"[107.061, 107.502]",L
"Abuela,","[109.182, 109.543]",L
no,"[109.563, 109.643]",O
"presiones,","[109.683, 110.103]",O
que,"[110.123, 110.223]",O
te,"[110.263, 110.303]",L
quito,"[110.343, 110.523]",L
de,"[110.563, 110.603]",L
en,"[110.623, 110.663]",L
"medio,","[110.723, 110.903]",L
que,"[110.943, 111.003]",O
a,"[111.023, 111.043]",O
tu,"[111.083, 111.143]",O
edad,"[111.184, 111.304]",O
no,"[111.344, 111.404]",O
hacen,"[111.424, 111.624]",O
autopsias.,"[111.644, 112.104]",O
No,"[112.284, 112.384]",O
"presiones,","[112.464, 112.944]",O
"abuela,","[113.004, 113.285]",O
¿eh?,"[113.345, 113.665]",O
