text,timestamp,label
"horse,","[69.706, 70.026]",O
"Iceland,","[70.166, 70.686]",O
OK?,"[70.786, 71.107]",O
Or,"[71.187, 71.327]",O
get,"[71.427, 71.567]",O
down,"[71.607, 71.787]",O
off,"[71.827, 71.927]",O
your,"[71.967, 72.087]",O
tiny,"[72.127, 72.447]",O
little,"[72.487, 72.727]",O
"horse,","[72.887, 73.187]",O
I,"[73.387, 73.427]",O
guess.,"[73.467, 73.707]",L
"No,","[75.308, 75.508]",L
it's...,"[75.608, 75.748]",L
I,"[76.289, 76.389]",O
love,"[76.429, 76.609]",O
living,"[76.649, 76.869]",O
here,"[76.889, 77.029]",O
in,"[77.049, 77.109]",O
the,"[77.129, 77.189]",O
UK.,"[77.289, 77.589]",O
I,"[77.609, 77.649]",O
live,"[77.689, 77.829]",O
over,"[77.869, 78.01]",O
here.,"[78.05, 78.23]",O
"Um,","[78.63, 78.77]",O
and,"[79.05, 79.19]",O
I,"[79.39, 79.47]",O
really,"[79.51, 79.75]",O
love,"[79.81, 80.011]",O
"it,","[80.051, 80.111]",O
but,"[80.151, 80.251]",O
it's,"[80.311, 80.431]",O
weird,"[80.491, 80.791]",O
for,"[80.851, 81.011]",O
me,"[81.051, 81.331]",O
being,"[81.731, 81.992]",O
from,"[82.072, 82.272]",O
the,"[82.332, 82.412]",O
only,"[82.492, 82.712]",O
country,"[82.772, 83.392]",O
that,"[83.412, 83.933]",O
British,"[83.993, 84.313]",O
people,"[84.353, 84.633]",O
can,"[84.673, 84.793]",O
punch,"[84.853, 85.153]",O
up,"[85.273, 85.353]",O
to.,"[85.413, 85.634]",O
You,"[85.874, 85.974]",O
know,"[86.014, 86.094]",O
what,"[86.114, 86.194]",O
I,"[86.254, 86.314]",O
mean?,"[86.354, 86.654]",O
"Like,","[86.714, 86.934]",O
you,"[86.954, 87.014]",O
know,"[87.034, 87.134]",O
what,"[87.154, 87.234]",O
I,"[87.254, 87.274]",O
mean?,"[87.314, 87.394]",O
"Like,","[87.435, 87.555]",O
"see,","[87.835, 87.975]",O
"like,","[88.015, 88.155]",O
right-wing,"[88.455, 88.915]",O
British,"[88.935, 89.255]",O
people,"[89.295, 89.696]",O
feel,"[89.796, 89.996]",O
comfortable,"[90.076, 90.676]",O
complaining,"[91.036, 91.537]",O
to,"[91.577, 91.697]",O
me,"[91.777, 92.077]",O
about,"[92.497, 92.737]",O
"immigrants,","[92.797, 93.298]",O
right?,"[93.438, 93.758]",O
And,"[93.858, 93.998]",O
then,"[94.078, 94.218]",O
when,"[94.238, 94.358]",O
I,"[94.398, 94.478]",O
remind,"[94.518, 94.858]",O
them,"[94.898, 95.099]",O
"that,","[95.179, 95.339]",O
"like,","[95.379, 95.599]",O
I'm,"[95.939, 96.079]",O
an,"[96.119, 96.159]",O
"immigrant,","[96.199, 96.599]",O
they're,"[96.779, 97.0]",O
"like,","[97.02, 97.22]",O
"yeah,","[97.4, 97.6]",O
you,"[97.62, 97.72]",O
know,"[97.76, 97.86]",O
what,"[97.88, 98.0]",O
we,"[98.02, 98.14]",O
"mean,","[98.16, 98.34]",L
right?,"[98.36, 98.981]",L
Yeah.,"[100.001, 100.261]",L
It,"[100.381, 100.441]",O
happens,"[100.501, 100.841]",O
to,"[100.861, 100.941]",O
me,"[100.981, 101.101]",O
"too,","[101.141, 101.301]",O
"though,","[101.341, 101.561]",O
right?,"[101.601, 101.822]",O
"Like,","[101.842, 102.022]",O
I,"[102.102, 102.402]",O
was,"[102.442, 102.562]",O
discriminated,"[102.602, 103.222]",O
against,"[103.262, 103.542]",O
at,"[103.582, 103.642]",O
work,"[103.682, 103.922]",O
the,"[103.962, 104.042]",O
other,"[104.082, 104.262]",O
"day,","[104.282, 104.502]",O
right?,"[104.622, 104.882]",O
My,"[104.942, 105.062]",O
boss,"[105.102, 105.362]",O
was,"[105.402, 105.522]",O
"like,","[105.562, 105.702]",O
"Crystal,","[105.762, 106.203]",O
you,"[106.683, 106.803]",O
can't,"[106.843, 107.023]",O
wear,"[107.063, 107.223]",O
that,"[107.263, 107.403]",O
backless,"[107.463, 107.923]",O
dress.,"[107.983, 108.363]",O
And,"[108.943, 109.043]",O
I,"[109.063, 109.103]",O
was,"[109.143, 109.263]",O
"like,","[109.303, 109.443]",O
why?,"[109.503, 109.863]",O
"What,","[109.883, 109.963]",O
because,"[110.364, 110.684]",O
I'm,"[110.844, 110.964]",O
a,"[111.004, 111.044]",O
woman,"[111.104, 111.464]",O
and,"[111.524, 111.604]",O
my,"[111.644, 111.764]",O
body's,"[111.804, 112.144]",O
inherently,"[112.204, 112.724]",O
sexual?,"[112.784, 113.324]",O
And,"[113.524, 113.604]",O
he,"[113.644, 113.724]",O
was,"[113.744, 113.864]",O
"like,","[113.924, 114.084]",O
"no,","[114.184, 114.485]",O
because,"[114.825, 115.025]",O
you,"[115.065, 115.165]",O
have,"[115.185, 115.285]",O
a,"[115.325, 115.365]",O
full,"[115.425, 115.645]",O
back,"[115.705, 115.965]",O
tattoo,"[116.005, 116.385]",O
of,"[116.405, 116.465]",O
a,"[116.505, 116.545]",O
bald,"[116.585, 116.825]",O
eagle,"[116.865, 117.065]",O
with,"[117.085, 117.185]",O
his,"[117.245, 117.345]",O
dick,"[117.405, 117.625]",O
"out,","[117.745, 117.865]",L
right?,"[118.105, 118.405]",L
You,"[120.526, 120.646]",O
"know,","[120.666, 120.886]",O
punished,"[120.966, 121.266]",O
for,"[121.286, 121.406]",O
being,"[121.426, 121.626]",O
a,"[121.666, 121.686]",O
patriot.,"[121.726, 122.286]",O
Unbelievable.,"[122.366, 123.067]",O
Absolutely,"[123.087, 123.967]",O
shocking.,"[124.027, 124.487]",O
"Uh,","[125.081, 125.181]",O
speaking,"[125.281, 125.621]",O
of,"[125.661, 125.721]",O
dicks,"[125.761, 126.041]",O
"out,","[126.241, 126.401]",O
"um,","[126.702, 126.842]",O
"I'm,","[127.122, 127.282]",L
uh...,"[127.602, 127.682]",L
I'm,"[128.482, 128.622]",L
trying,"[128.682, 128.982]",L
to,"[129.022, 129.082]",O
watch,"[129.122, 129.402]",O
less,"[129.442, 129.662]",O
porn,"[129.742, 130.182]",O
lately.,"[130.403, 130.803]",O
Um...,"[130.823, 130.863]",L
I,"[131.363, 131.523]",L
don't,"[131.543, 132.423]",L
know.,"[132.443, 132.563]",L
Anyone,"[132.643, 132.923]",O
else,"[132.983, 133.223]",O
trying,"[133.303, 133.483]",O
to,"[133.503, 133.563]",O
cut,"[133.583, 133.763]",O
down?,"[133.783, 134.064]",O
No?,"[134.084, 134.124]",L
Okay.,"[134.904, 135.604]",L
Absolute,"[136.424, 136.924]",L
"perverts,","[136.944, 137.504]",O
all,"[137.564, 137.704]",O
of,"[137.745, 137.805]",O
you.,"[137.845, 138.125]",L
Uh...,"[138.765, 138.865]",L
I,"[139.545, 139.605]",L
know,"[139.645, 139.745]",L
what,"[139.765, 139.845]",O
you,"[139.865, 139.945]",O
mean.,"[139.985, 140.125]",O
It's,"[140.145, 140.285]",O
a,"[140.325, 140.345]",O
very,"[140.405, 140.665]",O
difficult,"[140.725, 141.145]",O
thing,"[141.185, 141.365]",O
to,"[141.405, 141.526]",O
stop.,"[141.586, 141.986]",O
"Like,","[142.046, 142.246]",O
for,"[142.286, 142.446]",O
"me,","[142.506, 142.866]",O
"uh,","[142.886, 142.926]",O
it,"[143.426, 143.506]",O
kind,"[143.546, 143.726]",O
of,"[143.746, 143.806]",O
feels,"[143.846, 144.146]",O
like,"[144.226, 144.466]",O
I'm,"[144.926, 145.026]",O
in,"[145.066, 145.107]",O
the,"[145.127, 145.207]",O
middle,"[145.227, 145.447]",O
of,"[145.467, 145.527]",O
the,"[145.567, 145.647]",O
"ocean,","[145.787, 146.247]",O
and,"[146.387, 146.547]",O
someone's,"[146.687, 147.047]",O
taken,"[147.087, 147.327]",O
away,"[147.367, 147.547]",O
my,"[147.587, 147.707]",O
jet,"[147.787, 148.027]",O
"ski,","[148.087, 148.407]",O
and,"[148.467, 148.547]",O
now,"[148.587, 148.687]",O
I've,"[148.727, 148.848]",O
got,"[148.868, 148.988]",O
"to,","[149.008, 149.068]",O
"like,","[149.088, 149.288]",O
wank,"[149.888, 150.168]",O
myself,"[150.228, 150.648]",O
five,"[150.728, 150.968]",O
miles,"[151.008, 151.288]",O
to,"[151.328, 151.448]",O
"shore,","[151.508, 151.848]",O
you,"[151.868, 151.928]",L
know?,"[152.248, 153.089]",L
Difficult.,"[153.229, 153.769]",L
You,"[154.707, 154.807]",L
know?,"[154.827, 155.127]",L
"And,","[156.068, 156.148]",L
"like,","[156.189, 156.369]",L
"hey,","[156.409, 156.669]",L
I'm,"[156.689, 156.749]",L
a,"[157.51, 157.53]",O
busy,"[157.57, 157.79]",O
person.,"[157.83, 158.251]",O
You,"[158.411, 158.491]",O
know,"[158.511, 158.591]",O
what,"[158.611, 158.711]",O
I,"[158.731, 158.751]",O
mean?,"[158.771, 159.051]",O
"Like,","[159.071, 159.211]",O
I'm,"[159.252, 159.352]",O
very,"[159.372, 159.552]",O
busy.,"[159.592, 159.772]",O
"Like,","[159.792, 159.952]",O
I've,"[160.072, 160.212]",O
got,"[160.233, 160.393]",O
two,"[160.433, 160.613]",O
kids.,"[160.693, 161.113]",O
I've,"[161.554, 161.674]",O
got,"[161.694, 161.834]",O
a,"[161.854, 161.894]",O
job,"[161.934, 162.315]",O
as,"[162.375, 162.455]",O
well.,"[162.495, 162.755]",O
And,"[162.875, 162.975]",O
I,"[163.015, 163.135]",O
do,"[163.155, 163.276]",O
this.,"[163.336, 163.556]",O
"And,","[163.616, 163.696]",O
"like,","[163.716, 163.856]",O
at,"[163.896, 163.936]",O
the,"[163.976, 164.036]",O
end,"[164.076, 164.176]",O
of,"[164.196, 164.256]",O
the,"[164.276, 164.357]",O
"day,","[164.397, 164.637]",O
I,"[164.657, 164.677]",O
just,"[165.277, 165.398]",O
don't,"[165.438, 165.598]",O
have,"[165.638, 165.818]",O
the,"[165.858, 165.938]",O
time,"[165.998, 166.459]",O
"to,","[166.599, 166.739]",O
"like,","[166.759, 166.959]",O
go,"[167.5, 167.66]",O
out,"[167.8, 167.96]",O
and,"[168.04, 168.16]",O
find,"[168.28, 168.501]",O
horses,"[168.561, 168.921]",O
that,"[168.941, 169.041]",O
are,"[169.081, 169.161]",O
willing,"[169.201, 169.442]",O
to,"[169.462, 169.522]",O
have,"[169.562, 169.682]",O
sex,"[169.742, 169.982]",O
in,"[170.022, 170.082]",O
front,"[170.122, 170.282]",O
of,"[170.322, 170.363]",O
me.,"[170.403, 170.543]",O
You,"[170.623, 170.703]",O
know,"[170.723, 170.863]",L
what,"[170.883, 170.983]",L
I,"[171.003, 171.023]",L
mean?,"[171.043, 171.283]",L
"Like,","[171.323, 171.564]",L
yeah.,"[171.584, 173.145]",L
Why,"[173.846, 173.906]",O
do,"[173.926, 173.966]",O
you,"[173.986, 174.046]",O
think,"[174.066, 174.186]",O
I,"[174.226, 174.266]",O
went,"[174.306, 174.427]",O
to,"[174.467, 174.547]",O
"Iceland,","[174.687, 175.067]",L
you,"[175.107, 175.187]",L
know?,"[175.207, 175.508]",L
Sexy,"[176.749, 177.129]",L
little,"[177.149, 177.329]",O
magical,"[177.369, 177.75]",O
ponies.,"[177.79, 178.17]",O
"No,","[180.393, 180.513]",O
I'm,"[180.553, 180.673]",O
busy,"[180.713, 181.074]",O
is,"[181.114, 181.214]",O
the,"[181.254, 181.314]",O
point.,"[181.354, 181.534]",O
I'm,"[181.574, 181.634]",O
very,"[181.654, 181.834]",O
busy,"[181.854, 182.134]",O
in,"[182.154, 182.214]",O
my,"[182.254, 182.354]",O
life.,"[182.414, 182.634]",O
I,"[182.934, 183.014]",O
do,"[183.054, 183.155]",O
have,"[183.195, 183.315]",O
two,"[183.355, 183.495]",O
"kids,","[183.535, 183.835]",O
for,"[183.895, 184.035]",O
"real,","[184.075, 184.415]",O
and,"[185.316, 185.396]",O
I,"[185.436, 185.516]",O
had,"[185.556, 185.756]",O
them,"[185.796, 185.976]",O
over,"[186.376, 186.556]",O
"here,","[186.616, 186.876]",O
you,"[187.136, 187.216]",O
"know,","[187.256, 187.416]",O
so,"[187.476, 187.557]",O
they're,"[187.577, 187.737]",O
my,"[187.777, 187.857]",O
anchor,"[187.957, 188.197]",O
"babies,","[188.237, 188.637]",O
so,"[188.677, 188.797]",O
you,"[188.817, 188.917]",O
can't,"[188.957, 189.117]",O
kick,"[189.157, 189.337]",O
me,"[189.377, 189.457]",O
out.,"[189.597, 189.737]",L
And,"[191.218, 191.338]",L
I,"[191.378, 191.458]",L
had,"[191.478, 191.618]",L
them,"[191.638, 191.758]",L
in,"[191.798, 191.858]",O
"Scotland,","[191.898, 192.459]",O
and,"[192.859, 192.979]",O
my,"[193.259, 193.379]",O
husband,"[193.419, 193.879]",O
is,"[193.979, 194.039]",O
Scottish,"[194.099, 194.48]",O
as,"[194.52, 194.62]",O
"well,","[194.68, 194.96]",O
so,"[195.06, 195.32]",O
I'm,"[195.44, 195.58]",O
the,"[195.6, 195.68]",O
only,"[195.72, 195.9]",O
American,"[195.94, 196.36]",O
in,"[196.4, 196.461]",O
my,"[196.501, 196.621]",O
"household,","[196.681, 197.221]",O
which,"[197.281, 197.461]",O
means,"[197.541, 197.821]",O
I'm,"[198.241, 198.381]",O
the,"[198.421, 198.521]",O
only,"[198.581, 198.742]",O
one,"[198.822, 198.922]",O
who,"[198.942, 199.042]",O
can,"[199.062, 199.202]",O
use,"[199.282, 199.422]",O
the,"[199.442, 199.522]",O
"Alexa,","[199.602, 200.082]",O
so...,"[200.282, 200.522]",O
So,"[200.542, 200.842]",L
you,"[201.443, 201.523]",L
can,"[201.643, 201.783]",L
reach,"[201.823, 202.083]",L
out,"[202.323, 202.463]",L
for,"[202.523, 202.663]",L
me.,"[202.703, 202.803]",L
They're,"[205.162, 206.123]",O
having,"[206.143, 206.343]",O
an,"[206.363, 206.663]",O
upbringing,"[206.723, 207.084]",O
that's,"[207.124, 207.284]",O
quite,"[207.324, 207.524]",O
different,"[207.564, 207.865]",O
than,"[207.885, 208.025]",O
my,"[208.045, 208.205]",O
"own,","[208.345, 208.485]",O
you,"[208.505, 208.585]",O
know,"[208.605, 208.706]",O
what,"[208.726, 208.806]",O
I,"[208.826, 208.846]",O
mean?,"[208.866, 208.986]",O
My,"[209.026, 209.306]",O
parents,"[209.947, 210.247]",O
were,"[210.267, 210.367]",O
divorced,"[210.408, 210.788]",O
when,"[210.848, 210.968]",O
I,"[210.988, 211.028]",O
was,"[211.068, 211.168]",O
growing,"[211.208, 211.509]",O
up.,"[211.649, 211.749]",O
And,"[212.57, 212.67]",O
they,"[212.69, 212.81]",O
got,"[212.83, 212.95]",O
divorced,"[212.97, 213.291]",O
when,"[213.311, 213.411]",O
I,"[213.451, 213.491]",O
was,"[213.531, 213.671]",O
one.,"[213.952, 214.072]",O
So,"[214.608, 214.708]",O
I,"[214.728, 214.748]",O
don't,"[214.788, 214.908]",O
really,"[214.928, 215.108]",O
remember,"[215.148, 215.508]",O
it,"[215.568, 215.668]",O
because,"[216.149, 216.349]",O
I,"[216.389, 216.429]",O
was,"[216.449, 216.549]",O
on,"[216.609, 216.689]",O
mushrooms.,"[216.709, 217.209]",O
And,"[217.489, 217.92]",L
"yeah,","[219.61, 219.77]",L
I,"[219.99, 220.09]",O
lived,"[220.13, 220.311]",O
with,"[220.331, 220.451]",O
my,"[220.491, 220.611]",O
mom,"[220.651, 220.971]",O
after,"[221.071, 221.271]",O
the,"[221.291, 221.371]",O
"divorce,","[221.411, 221.911]",O
right?,"[221.991, 222.331]",O
Which,"[222.772, 222.912]",O
was,"[222.952, 223.072]",O
weird,"[223.112, 223.372]",O
because,"[223.392, 223.612]",O
dad,"[223.632, 223.932]",O
was,"[223.972, 224.092]",O
actually,"[224.192, 224.512]",O
the,"[224.532, 224.612]",O
more,"[224.632, 224.812]",O
stable,"[224.873, 225.253]",O
"adult,","[225.293, 225.673]",O
right?,"[225.833, 226.133]",O
Like,"[226.173, 226.373]",O
he,"[226.693, 226.813]",O
sometimes,"[226.853, 227.274]",O
drove,"[227.314, 227.554]",O
"drunk,","[227.594, 227.874]",O
but,"[227.914, 228.014]",O
he,"[228.034, 228.094]",O
was,"[228.134, 228.234]",O
like,"[228.274, 228.414]",O
really,"[228.454, 228.674]",O
good,"[228.694, 228.874]",O
at,"[228.934, 229.034]",O
it.,"[229.094, 229.134]",L
You,"[229.314, 229.475]",L
know,"[229.495, 229.735]",L
what,"[229.755, 229.855]",L
I,"[230.275, 230.355]",L
mean?,"[230.375, 230.6]",L
And,"[231.475, 231.575]",O
as,"[231.635, 231.796]",O
for,"[231.856, 231.996]",O
"mom,","[232.056, 232.976]",O
mental,"[233.096, 233.436]",O
illness,"[233.496, 233.856]",O
runs,"[233.936, 234.217]",O
in,"[234.297, 234.357]",O
her,"[234.397, 234.517]",O
side,"[234.577, 234.777]",O
of,"[234.797, 234.857]",O
the,"[234.877, 234.957]",O
family.,"[234.997, 235.377]",O
"Yeah,","[235.677, 236.037]",O
so,"[236.177, 236.398]",O
does,"[236.458, 236.778]",O
being,"[237.318, 237.558]",O
hilarious.,"[237.598, 238.158]",L
And,"[239.719, 239.819]",L
they,"[239.859, 239.979]",O
tend,"[240.019, 240.179]",O
to,"[240.199, 240.239]",O
go,"[240.279, 240.399]",O
hand,"[240.439, 240.619]",O
in,"[240.659, 240.739]",O
"hand,","[240.779, 241.1]",O
right?,"[241.14, 241.48]",O
So,"[241.52, 241.88]",O
like,"[241.92, 242.18]",O
I,"[242.3, 242.36]",O
might,"[242.4, 242.56]",O
be,"[242.58, 242.68]",O
in,"[242.72, 242.78]",O
trouble.,"[242.8, 243.08]",L
Some,"[244.858, 244.998]",O
of,"[245.058, 245.098]",O
you,"[245.138, 245.198]",O
are,"[245.238, 245.318]",O
"like,","[245.358, 245.478]",O
"nope,","[245.558, 245.758]",O
you're,"[245.778, 245.978]",O
fine.,"[245.998, 246.259]",O
"Yeah,","[246.279, 246.359]",L
mom,"[248.219, 248.66]",L
apparently,"[248.68, 249.14]",L
always,"[249.22, 249.56]",O
struggled,"[249.62, 250.0]",O
with,"[250.04, 250.18]",O
"that,","[250.22, 250.46]",O
like,"[250.52, 250.68]",O
from,"[250.74, 250.88]",O
"childhood,","[250.941, 251.621]",O
right?,"[251.701, 251.961]",O
But,"[252.001, 252.341]",O
it,"[252.361, 252.401]",O
was,"[252.441, 252.581]",O
the,"[252.601, 252.681]",O
"70s,","[252.741, 253.322]",O
so,"[253.402, 253.662]",O
no,"[253.762, 253.842]",O
one,"[253.882, 253.962]",O
knew,"[253.982, 254.062]",O
what,"[254.082, 254.182]",O
that,"[254.222, 254.362]",O
was,"[254.422, 254.622]",O
yet.,"[254.662, 254.862]",O
They,"[254.922, 255.022]",O
were,"[255.042, 255.162]",O
just,"[255.182, 255.382]",O
"like,","[255.462, 255.662]",O
"oh,","[255.843, 255.943]",O
you,"[256.003, 256.163]",O
know,"[256.203, 256.363]",O
her.,"[256.423, 256.623]",O
She's,"[256.703, 256.903]",O
a,"[256.943, 256.983]",O
free,"[257.003, 257.203]",O
"spirit,","[257.243, 257.663]",O
OK?,"[257.683, 258.404]",L
Or,"[259.064, 259.144]",L
as,"[259.204, 259.284]",L
the,"[259.324, 259.384]",L
doctors,"[259.424, 259.764]",L
later,"[259.804, 260.044]",L
described,"[260.084, 260.484]",L
"it,","[260.524, 260.584]",O
"bipolar,","[260.665, 261.245]",O
OK?,"[261.425, 261.905]",L
"Yeah,","[263.666, 263.906]",L
you,"[263.966, 264.086]",O
literally,"[264.106, 264.466]",O
can't,"[264.486, 264.726]",O
leave.,"[264.766, 264.946]",O
You,"[264.986, 265.086]",O
have,"[265.106, 265.226]",O
to,"[265.246, 265.326]",O
watch,"[265.346, 265.527]",O
the,"[265.547, 265.627]",O
rest,"[265.667, 265.767]",O
of,"[265.827, 265.887]",O
my,"[265.907, 266.007]",O
set.,"[266.027, 266.227]",L
"Yeah,","[268.796, 269.196]",O
I,"[269.236, 269.276]",O
don't,"[269.296, 269.396]",O
know.,"[269.436, 269.616]",O
When,"[270.097, 270.237]",O
I,"[270.277, 270.337]",O
"was 14,","[270.377, 271.258]",O
"right,","[271.378, 271.718]",O
my,"[272.579, 272.699]",O
house,"[272.719, 272.959]",O
burned,"[273.019, 273.279]",O
"down,","[273.299, 273.519]",O
okay?,"[273.539, 274.1]",O
"Spoiler,","[274.14, 274.58]",O
I,"[274.76, 274.82]",O
made,"[274.84, 274.98]",O
it,"[275.0, 275.04]",O
out,"[275.101, 275.181]",O
"alive,","[275.221, 275.541]",O
okay?,"[275.661, 275.981]",O
Don't,"[276.061, 276.181]",O
worry.,"[276.201, 276.482]",O
But,"[277.322, 277.542]",O
I,"[277.763, 277.863]",O
did,"[277.943, 278.303]",O
get,"[278.843, 279.024]",O
injured,"[279.084, 279.384]",O
from,"[279.444, 279.624]",O
"it,","[279.704, 279.764]",O
right?,"[279.824, 280.044]",O
I,"[280.104, 280.144]",O
got,"[280.184, 280.385]",O
"burned,","[280.425, 280.865]",O
and,"[280.925, 281.025]",O
I,"[281.065, 281.105]",O
had,"[281.145, 281.305]",O
very,"[281.405, 281.766]",O
intense,"[281.866, 282.346]",O
smoke,"[282.846, 283.147]",O
inhalation.,"[283.187, 283.867]",O
Some,"[284.428, 284.608]",O
of,"[284.648, 284.708]",O
it,"[284.788, 284.868]",O
from,"[285.408, 285.548]",O
the,"[285.589, 285.649]",O
house,"[285.689, 285.869]",O
fire.,"[285.909, 286.229]",L
Hey-oh!,"[286.489, 287.01]",O
"Okay,","[287.15, 287.25]",O
all,"[287.35, 287.47]",O
right.,"[287.49, 287.97]",O
